text,category,category_1
in want to by a tshirt,buy_clothes,0
can you help me buy a tshirt,buy_clothes,0
need help in buying a tshirt,buy_clothes,0
buy tshirt,buy_clothes,0
here to buy tshirt,buy_clothes,0
buying tshirt for my mom,buy_clothes,0
want to buy tshirt for someone,buy_clothes,0
need to buy a gift for someone,buy_clothes,0
need to gift a tshirt,buy_clothes,0
in want to by a tshirt,buy_clothes,0
can you help me purchase a tshirt,buy_clothes,0
need help in purchasing a tshirt,buy_clothes,0
purchase tshirt,buy_clothes,0
here to purchase tshirt,buy_clothes,0
purchaseing tshirt for my mom,buy_clothes,0
want to purchase tshirt for someone,buy_clothes,0
need to purchase a gift for someone,buy_clothes,0
need to gift a tshirt,buy_clothes,0
in want to by a tshirt,buy_clothes,0
can you help me select a tshirt,buy_clothes,0
need help in selecting a tshirt,buy_clothes,0
select tshirt,buy_clothes,0
here to select tshirt,buy_clothes,0
selecting tshirt for my mom,buy_clothes,0
want to select tshirt for someone,buy_clothes,0
need to select a gift for someone,buy_clothes,0
need to gift a tshirt,buy_clothes,0
in want to by a clothes,buy_clothes,0
can you help me buy a clothes,buy_clothes,0
need help in buying a clothes,buy_clothes,0
buy clothes,buy_clothes,0
here to buy clothes,buy_clothes,0
buying clothes for my mom,buy_clothes,0
want to buy clothes for someone,buy_clothes,0
need to buy a gift for someone,buy_clothes,0
need to gift a clothes,buy_clothes,0
in want to by a clothes,buy_clothes,0
can you help me purchase a clothes,buy_clothes,0
need help in purchasing a clothes,buy_clothes,0
purchase clothes,buy_clothes,0
here to purchase clothes,buy_clothes,0
purchaseing clothes for my mom,buy_clothes,0
want to purchase clothes for someone,buy_clothes,0
need to purchase a gift for someone,buy_clothes,0
need to gift a clothes,buy_clothes,0
in want to by a clothes,buy_clothes,0
can you help me select a clothes,buy_clothes,0
need help in selecting a clothes,buy_clothes,0
select clothes,buy_clothes,0
here to select clothes,buy_clothes,0
selecting clothes for my mom,buy_clothes,0
want to select clothes for someone,buy_clothes,0
need to select a gift for someone,buy_clothes,0
need to gift a clothes,buy_clothes,0
in want to by a cloth,buy_clothes,0
can you help me buy a cloth,buy_clothes,0
need help in buying a cloth,buy_clothes,0
buy cloth,buy_clothes,0
here to buy cloth,buy_clothes,0
buying cloth for my mom,buy_clothes,0
want to buy cloth for someone,buy_clothes,0
need to buy a gift for someone,buy_clothes,0
need to gift a cloth,buy_clothes,0
in want to by a cloth,buy_clothes,0
can you help me purchase a cloth,buy_clothes,0
need help in purchasing a cloth,buy_clothes,0
purchase cloth,buy_clothes,0
here to purchase cloth,buy_clothes,0
purchaseing cloth for my mom,buy_clothes,0
want to purchase cloth for someone,buy_clothes,0
need to purchase a gift for someone,buy_clothes,0
need to gift a cloth,buy_clothes,0
in want to by a cloth,buy_clothes,0
can you help me select a cloth,buy_clothes,0
need help in selecting a cloth,buy_clothes,0
select cloth,buy_clothes,0
here to select cloth,buy_clothes,0
selecting cloth for my mom,buy_clothes,0
want to select cloth for someone,buy_clothes,0
need to select a gift for someone,buy_clothes,0
need to gift a cloth,buy_clothes,0
in want to by a shirt,buy_clothes,0
can you help me buy a shirt,buy_clothes,0
need help in buying a shirt,buy_clothes,0
buy shirt,buy_clothes,0
here to buy shirt,buy_clothes,0
buying shirt for my mom,buy_clothes,0
want to buy shirt for someone,buy_clothes,0
need to buy a gift for someone,buy_clothes,0
need to gift a shirt,buy_clothes,0
in want to by a shirt,buy_clothes,0
can you help me purchase a shirt,buy_clothes,0
need help in purchasing a shirt,buy_clothes,0
purchase shirt,buy_clothes,0
here to purchase shirt,buy_clothes,0
purchaseing shirt for my mom,buy_clothes,0
want to purchase shirt for someone,buy_clothes,0
need to purchase a gift for someone,buy_clothes,0
need to gift a shirt,buy_clothes,0
in want to by a shirt,buy_clothes,0
can you help me select a shirt,buy_clothes,0
need help in selecting a shirt,buy_clothes,0
select shirt,buy_clothes,0
here to select shirt,buy_clothes,0
selecting shirt for my mom,buy_clothes,0
want to select shirt for someone,buy_clothes,0
need to select a gift for someone,buy_clothes,0
need to gift a shirt,buy_clothes,0
in want to by a trousers,buy_clothes,0
can you help me buy a trousers,buy_clothes,0
need help in buying a trousers,buy_clothes,0
buy trousers,buy_clothes,0
here to buy trousers,buy_clothes,0
buying trousers for my mom,buy_clothes,0
want to buy trousers for someone,buy_clothes,0
need to buy a gift for someone,buy_clothes,0
need to gift a trousers,buy_clothes,0
in want to by a trousers,buy_clothes,0
can you help me purchase a trousers,buy_clothes,0
need help in purchasing a trousers,buy_clothes,0
purchase trousers,buy_clothes,0
here to purchase trousers,buy_clothes,0
purchaseing trousers for my mom,buy_clothes,0
want to purchase trousers for someone,buy_clothes,0
need to purchase a gift for someone,buy_clothes,0
need to gift a trousers,buy_clothes,0
in want to by a trousers,buy_clothes,0
can you help me select a trousers,buy_clothes,0
need help in selecting a trousers,buy_clothes,0
select trousers,buy_clothes,0
here to select trousers,buy_clothes,0
selecting trousers for my mom,buy_clothes,0
want to select trousers for someone,buy_clothes,0
need to select a gift for someone,buy_clothes,0
need to gift a trousers,buy_clothes,0
in want to by a pants,buy_clothes,0
can you help me buy a pants,buy_clothes,0
need help in buying a pants,buy_clothes,0
buy pants,buy_clothes,0
here to buy pants,buy_clothes,0
buying pants for my mom,buy_clothes,0
want to buy pants for someone,buy_clothes,0
need to buy a gift for someone,buy_clothes,0
need to gift a pants,buy_clothes,0
in want to by a pants,buy_clothes,0
can you help me purchase a pants,buy_clothes,0
need help in purchasing a pants,buy_clothes,0
purchase pants,buy_clothes,0
here to purchase pants,buy_clothes,0
purchaseing pants for my mom,buy_clothes,0
want to purchase pants for someone,buy_clothes,0
need to purchase a gift for someone,buy_clothes,0
need to gift a pants,buy_clothes,0
in want to by a pants,buy_clothes,0
can you help me select a pants,buy_clothes,0
need help in selecting a pants,buy_clothes,0
select pants,buy_clothes,0
here to select pants,buy_clothes,0
selecting pants for my mom,buy_clothes,0
want to select pants for someone,buy_clothes,0
need to select a gift for someone,buy_clothes,0
need to gift a pants,buy_clothes,0
in want to by a top,buy_clothes,0
can you help me buy a top,buy_clothes,0
need help in buying a top,buy_clothes,0
buy top,buy_clothes,0
here to buy top,buy_clothes,0
